# SD_corrected_positions.csv
# Corrected SD positions in WGS84/ITRF, consistent with FD telescope positions
# Generated from TA_TALE_TAx4 GPS & NED.xlsx (Kido/Okuda analysis)
#
# Height correction: h_itrf = H_NED + N_geoid + h_antenna - 0.73
#   H_NED:      USGS NED orthometric height (NAVD88)
#   N_geoid:    GEOID12B undulation (NAD83 ellipsoid to NAVD88 geoid)
#   h_antenna:  SD GPS antenna height above ground (0.89 m)
#   -0.73:      NAD83 to WGS84/ITRF frame correction
#
# Horizontal coordinates: from Motorola Oncore GPS (WGS84, minimal iono effect)
# Vertical coordinate:    from NED + geoid (avoids ~5.3 m L1 ionospheric bias)
#
# outlier: 1 = outside IQR fences, likely DEM interpolation error on slopes
# iono_residual: h_gps - h_itrf (measures ionospheric height bias per station)
#
array,site,latitude,longitude,h_itrf_corrected,h_gps_raw,h_ned_ortho,N_geoid,iono_residual,outlier
TA,1221,39.346,-112.912,1373.592,1378.650,1393.280,-19.848,5.058,0
TA,1222,39.357,-112.912,1380.033,1385.730,1399.700,-19.827,5.697,0
TA,1223,39.368,-112.912,1386.677,1393.130,1406.320,-19.803,6.453,0
TA,1224,39.379,-112.912,1399.193,1403.670,1418.810,-19.777,4.477,0
TA,1225,39.390,-112.912,1409.409,1414.910,1429.000,-19.751,5.501,0
TA,1226,39.400,-112.912,1420.766,1426.330,1440.330,-19.724,5.564,0
TA,1301,39.130,-112.899,1369.194,1373.660,1389.080,-20.046,4.466,0
TA,1302,39.140,-112.898,1368.685,1376.230,1388.570,-20.045,7.545,1
TA,1303,39.152,-112.898,1368.509,1374.120,1388.390,-20.041,5.611,0
TA,1304,39.162,-112.898,1368.666,1374.150,1388.540,-20.034,5.484,0
TA,1305,39.173,-112.899,1368.233,1374.020,1388.100,-20.027,5.787,0
TA,1306,39.184,-112.898,1369.294,1375.160,1389.150,-20.016,5.866,0
TA,1307,39.195,-112.898,1368.304,1374.120,1388.150,-20.006,5.816,0
TA,1308,39.206,-112.898,1369.735,1374.960,1389.570,-19.995,5.225,0
TA,1309,39.216,-112.898,1368.846,1375.250,1388.670,-19.984,6.404,0
TA,1310,39.227,-112.898,1369.538,1375.430,1389.350,-19.972,5.892,0
TA,1311,39.238,-112.898,1370.948,1376.730,1390.750,-19.962,5.782,0
TA,1312,39.249,-112.898,1371.087,1376.650,1390.880,-19.953,5.563,0
TA,1313,39.260,-112.898,1371.248,1376.770,1391.030,-19.942,5.522,0
TA,1314,39.271,-112.898,1370.498,1376.150,1390.270,-19.932,5.652,0
TA,1315,39.281,-112.898,1370.188,1375.640,1389.950,-19.922,5.452,0
TA,1316,39.292,-112.898,1369.928,1376.030,1389.680,-19.912,6.102,0
TA,1317,39.303,-112.898,1370.368,1376.230,1390.110,-19.902,5.862,0
TA,1318,39.314,-112.898,1369.990,1376.330,1389.720,-19.890,6.340,0
TA,1319,39.325,-112.898,1370.762,1376.670,1390.480,-19.878,5.908,0
TA,1320,39.336,-112.898,1369.577,1374.780,1389.280,-19.863,5.203,0
TA,1321,39.346,-112.898,1367.504,1374.660,1387.190,-19.846,7.156,0
TA,1322,39.357,-112.898,1371.014,1374.990,1390.680,-19.826,3.976,0
TA,1323,39.368,-112.898,1376.576,1382.830,1396.220,-19.804,6.254,0
TA,1324,39.379,-112.898,1385.170,1391.430,1404.790,-19.780,6.260,0
TA,1325,39.390,-112.898,1395.555,1401.640,1415.150,-19.755,6.085,0
TA,1326,39.400,-112.898,1402.372,1408.390,1421.940,-19.728,6.018,0
